customer_no,buytabw,tabordrs,divsords,divwords,spgtabord,moslsdvs,moslsdvw,moslstab,orders
6422,0,13,1,12,7,4.6321,0.2628,0.8213,21
6423,0,0,0,0,0,42,42,42,2
6424,0,11,0,4,6,42,11.3666,3.2852,15
6425,1,6,2,6,4,6.7017,6.7017,10.3154,10
6426,0,11,0,17,7,42,1.4455,4.6978,20
6427,1,13,5,12,9,4.4678,4.4678,4.4678,18
6428,0,13,3,10,6,22.5033,0.6242,4.5335,24
6429,0,3,4,3,2,3.1537,6.3403,0.3614,12
6430,0,3,0,3,0,42,6.8003,8.9356,4
6431,0,4,0,7,4,42,2.431,17.1156,10
6432,0,8,0,4,8,42,4.8949,4.8949,9
6433,0,5,1,6,2,23.5874,6.8003,6.8003,12
6434,1,7,1,10,3,10.6767,2.3325,15.933,33
6435,0,5,0,1,3,42,10.9396,4.6978,5
6436,1,6,3,16,5,4.9606,0.0986,4.9606,21
6437,0,8,4,1,6,0.5913,0.1643,0.1643,23
6438,0,8,2,13,7,13.0092,0.3285,0.8213,24
6439,0,2,0,1,2,42,2.661,2.8581,6
6440,0,3,4,2,1,14.0604,17.2142,4.5335,9
6441,1,10,0,7,9,42,2.8909,5.8804,17
6442,0,2,2,3,1,0.2957,2.6938,0.5585,7
6443,0,7,4,8,2,10.5125,2.8909,12.1551,21
6444,1,4,0,10,3,42,4.9934,6.1761,10
6445,1,11,0,12,10,42,4.4678,4.4678,13
6446,1,16,1,7,7,10.7096,3.3509,2.661,19
6447,0,10,0,3,6,42,5.4862,1.9054,13
6448,0,5,3,2,0,22.5033,24.77,9.8555,7
6449,0,12,3,10,8,6.7346,0.8213,5.092,28
6450,0,10,0,11,7,42,5.7162,3.5808,18
6451,0,4,0,1,2,42,0.5585,0.5585,8
6452,0,5,0,5,5,42,3.8436,3.1537,7
6453,0,2,2,4,1,7.8515,0.6242,7.8515,8
6454,0,8,0,9,4,42,4.9934,4.9934,15
6455,1,4,6,12,4,10.8739,2.4639,5.6176,16
6456,1,26,15,36,14,3.0552,3.0552,10.0197,57
6457,0,0,1,1,0,10.7096,7.6216,42,3
6458,0,3,4,0,0,1.9711,42,1.9711,17
6459,0,1,0,4,1,42,2.431,17.3784,5
6460,0,0,0,0,0,42,42,42,4
6461,0,1,0,3,0,42,7.6544,14.159,6
6462,1,11,9,31,8,4.435,0.2628,6.2418,46
6463,1,9,0,8,4,42,16.59,1.9711,14
6464,0,4,0,10,0,42,1.5112,1.5112,16
6465,0,12,0,3,8,42,11.8594,0.0657,18
6466,0,10,2,8,6,30.9133,6.0775,6.0775,17
6467,0,2,0,0,2,42,42,4.1721,3
6468,1,7,2,7,4,25.2628,4.0407,3.8436,12
6469,0,4,2,3,2,0.3942,8.8371,15.6045,11
6470,0,1,1,0,1,3.548,42,28.6794,5
6471,0,0,0,1,0,42,4.862,42,4
6472,1,10,0,5,2,42,10.1511,10.1511,16
6473,0,8,1,4,4,18.2326,9.067,4.6649,11
6474,0,1,0,14,0,42,3.1537,11.5309,15
6475,1,14,0,18,7,42,0.1314,1.6426,24
6476,0,3,0,2,2,42,11.1695,11.1695,9
6477,1,6,1,7,3,5.9461,6.0118,5.9461,12
6478,1,34,9,29,20,6.5046,1.2484,1.2484,43
6479,0,0,0,1,0,42,2.2339,42,1
6480,0,0,1,0,0,5.1248,42,42,1
6481,0,7,3,8,3,4.0079,0.0329,0.0329,10
6482,0,7,4,14,3,0.3614,0.3614,0.3614,26
6483,0,0,0,0,0,42,42,42,4
6484,0,11,4,14,4,21.7148,2.6281,2.6281,23
6485,0,9,4,2,3,8.1472,1.0841,2.7924,13
6486,0,3,1,3,3,27.7924,4.7306,4.7306,9
6487,0,3,1,3,0,6.2746,2.0039,1.2484,9
6488,0,1,0,1,0,42,1.7411,1.4455,6
6489,0,4,8,9,1,0.5585,5.4205,12.1551,35
6490,0,1,0,9,1,42,0.3285,3.3837,11
6491,1,25,2,19,18,7.0302,0.5585,0.5585,29
6492,0,7,1,1,3,4.7635,15.5388,4.7635,10
6493,0,2,1,0,1,1.0512,42,16.2286,5
6494,0,4,2,4,1,17.0499,12.9106,3.4823,13
6495,0,4,3,5,2,1.0512,1.0512,1.0512,10
6496,0,0,1,0,0,10.0526,42,42,3
6497,1,3,3,3,1,9.067,11.3338,9.067,7
6498,0,5,0,3,1,42,0.657,3.2852,16
6499,1,13,6,7,4,1.7411,6.5375,1.7411,23
6500,0,1,0,4,1,42,2.2011,15.703,5
6501,0,4,0,6,4,42,7.3916,4.205,29
6502,0,8,1,2,7,3.0223,30.1905,3.0223,11
6503,1,6,7,5,3,0.7884,0.7884,7.2602,9
6504,1,10,0,5,6,42,13.9947,2.8581,17
6505,0,5,0,2,3,42,28.4494,0.3942,14
6506,0,15,6,7,11,5.2562,8.3443,4.8949,24
6507,0,7,1,1,4,25.2628,31.6689,6.5046,10
6508,0,4,0,5,3,42,5.7162,20.1708,9
6509,0,3,0,0,2,42,42,2.6281,6
6510,0,3,4,4,1,7.0959,1.544,7.0959,21
6511,1,8,0,5,6,42,4.435,0.1314,17
6512,0,5,0,8,4,42,9.8226,4.6978,11
6513,0,4,0,7,1,42,10.9396,10.9396,13
6514,0,2,0,6,1,42,4.4021,5.4205,9
6515,0,9,1,2,4,5.5519,6.5046,1.774,9
6516,0,0,0,0,0,42,42,42,1
6517,0,3,0,2,1,42,1.4783,1.4783,13
6518,0,2,1,2,1,6.0447,6.0447,0.1643,10
6519,0,4,2,9,2,24.0802,10.7096,9.1327,20
6520,0,13,7,8,4,0.7884,0.3614,0.8213,24
6521,0,6,1,7,2,11.6951,11.6951,7.2602,12
6522,0,0,2,2,0,2.8581,6.5703,42,8
6523,0,11,1,6,4,24.7372,8.9356,7.7858,17
6524,0,1,0,0,0,42,42,9.0342,2
6525,0,4,1,7,3,3.8108,0.3285,3.8108,11
6526,0,7,1,4,2,3.8108,3.8108,3.8108,7
6527,1,5,4,9,2,10.0197,3.2852,4.0407,17
6528,0,7,5,9,4,18.2983,4.6321,4.6321,13
6529,0,6,0,1,2,42,7.7201,16.3601,15
6530,0,12,0,7,7,42,1.1827,3.1209,19
6531,0,14,1,0,7,2.661,42,2.661,25
6532,0,5,0,1,0,42,3.7451,3.7451,9
6533,0,1,0,1,1,42,6.636,6.636,3
6534,0,5,5,1,1,1.0512,13.6991,1.9382,16
6535,0,4,0,5,4,42,5.4205,5.4205,6
6536,0,9,2,6,7,10.0526,4.5007,1.3141,23
6537,0,2,0,0,2,42,42,5.9461,3
6538,0,7,8,2,2,3.0223,3.0223,3.7122,18
6539,0,3,3,0,2,6.3732,42,9.4612,9
6540,0,9,1,11,4,20.6307,0.3942,8.8699,17
6541,1,43,10,31,23,0.1314,0.0657,0.1314,85
6542,0,3,2,7,2,12.0894,0.2957,7.6873,11
6543,0,2,0,1,2,42,32.1616,17.3456,9
6544,0,5,0,14,3,42,1.3141,7.4901,16
6545,0,1,0,2,0,42,4.8949,11.8594,4
6546,0,2,0,2,2,42,5.1905,5.1905,4
6547,1,13,1,26,10,10.4468,0.7227,0.7227,26
6548,0,16,4,9,4,10.9724,4.2707,4.2707,26
6549,0,0,1,1,0,27.3325,7.2602,42,6
6550,0,5,0,4,4,42,1.0512,17.4442,18
6551,0,4,1,2,3,6.7017,6.7017,6.7017,9
6552,0,1,0,6,1,42,8.18,29.3035,8
6553,0,11,1,7,4,10.7096,4.0079,1.7083,13
6554,0,5,2,5,2,5.4862,21.3535,6.2746,11
6555,0,2,1,1,0,1.6754,3.8436,1.6754,4
6556,0,11,4,9,7,5.2562,5.2562,5.2562,23
6557,0,4,1,1,2,7.7201,1.7411,1.7411,7
6558,0,4,0,1,1,42,5.4205,0.3285,6
6559,1,4,0,2,4,42,3.7779,3.7779,7
6560,1,5,0,8,2,42,0.1314,0.1314,8
6561,0,6,2,9,4,6.2746,5.8804,0.3614,21
6562,0,6,0,1,3,42,27.2011,16.8528,14
6563,1,4,0,7,2,42,12.2536,12.5164,17
6564,1,2,0,2,1,42,5.5519,1.9711,7
6565,0,1,0,11,1,42,1.544,31.0118,21
6566,0,1,0,1,0,42,23.9816,2.2011,17
6567,1,3,2,4,3,3.1209,5.4205,2.3325,12
6568,1,1,0,5,1,42,2.8581,4.5664,8
6569,0,8,0,12,4,42,4.1721,1.9382,25
6570,0,0,0,0,0,42,42,42,4
6571,0,1,0,2,0,42,8.3443,15.2102,5
6572,0,13,2,12,7,12.6807,0.0986,0.0986,17
6573,0,9,0,8,5,42,3.7451,3.318,16
6574,0,0,0,0,0,42,42,42,3
6575,0,9,9,1,7,0.8213,9.724,1.9382,22
6576,0,1,3,5,1,6.636,1.7083,31.7017,14
6577,0,22,5,19,9,4.2707,4.2707,2.2339,48
6578,0,3,2,3,2,18.4954,13.3049,15.9001,6
6579,1,12,1,2,6,10.0854,10.2497,7.5558,20
6580,0,4,1,6,2,7.0302,0.1314,7.0302,14
6581,0,1,3,2,1,22.0105,2.6281,17.0828,9
6582,1,3,2,5,2,10.6767,4.2707,15.276,11
6583,0,15,1,2,7,12.615,9.3955,7.4573,19
6584,0,4,0,1,2,42,14.0933,0.5256,6
6585,0,8,6,1,7,1.7083,6.7346,6.8003,21
6586,1,20,1,17,12,25,8.9356,8.9356,23
6587,0,17,6,1,7,8.5742,10.9067,4.205,23
6588,0,10,3,16,6,10.9396,0.3285,5.8147,19
6589,0,8,0,0,5,42,42,0.3614,27
6590,1,11,1,6,3,1.9711,1.4455,0.7556,25
6591,1,14,0,11,8,42,3.3509,2.1025,20
6592,0,10,0,17,9,42,4.6978,4.6978,19
6593,0,13,1,5,10,7.0302,16.9842,4.3035,19
6594,0,0,0,0,0,42,42,42,3
6595,1,4,1,2,2,9.0342,0.8213,1.7411,8
6596,0,5,2,2,2,10.7753,10.9396,9.0342,7
6597,0,20,4,9,8,10.0854,5.8476,5.8476,29
6598,0,7,2,5,3,9.5598,3.3837,4.6978,13
6599,0,1,3,2,1,12.0894,1.0512,21.8134,19
6600,0,4,0,1,3,42,1.774,4.6321,9
6601,0,8,3,8,4,17.0499,8.7057,2.8909,31
6602,0,8,1,9,5,6.0447,5.5848,5.5848,14
6603,0,14,4,7,8,9.4612,3.5151,5.2562,25
6604,1,16,0,6,8,42,0.1314,6.5703,21
6605,0,2,0,1,2,42,12.385,10.9396,10
6606,1,12,0,16,10,42,4.205,14.816,21
6607,0,4,1,3,0,13.929,8.2457,0.2628,12
6608,1,14,2,10,8,3.5151,3.5151,3.5151,16
6609,0,2,1,4,1,9.3955,0.2957,1.6754,13
6610,1,3,1,6,1,28.3837,4.205,2.5953,16
6611,1,6,2,2,3,1.0512,0.5913,2.2011,20
6612,0,0,0,2,0,42,0.9855,42,5
6613,0,1,0,3,0,42,24.113,25.8213,9
6614,1,11,6,20,5,0.5256,0.5256,0.5256,30
6615,0,1,2,1,0,8.7057,11.1038,11.1038,5
6616,0,5,3,1,4,0.9527,4.4678,4.4678,16
6617,0,7,0,2,3,42,13.3706,2.8909,12
6618,0,2,0,2,0,42,18.2654,10.6767,15
6619,1,18,0,9,8,42,5.5848,1.4783,27
6620,1,5,2,1,4,13.9947,4.9277,5.092,10
6621,0,2,0,1,0,42,12.385,12.385,3
6622,0,0,0,2,0,42,16.82,42,12
6623,0,3,0,3,2,42,9.5269,5.7162,9
6624,0,3,1,4,3,24.7372,12.2865,4.3364,19
6625,1,6,1,2,6,28.6794,7.0959,7.0959,7
6626,0,5,0,1,1,42,5.092,12.1551,11
6627,1,2,1,2,0,0.5913,6.2746,0.5913,6
6628,1,7,1,4,4,7.1616,6.7017,4.6978,18
6629,0,2,0,1,2,42,4.1721,4.1721,3
6630,0,3,0,2,2,42,5.8147,5.8147,8
6631,1,2,0,6,2,42,6.7017,6.7017,8
6632,0,16,5,11,8,7.1945,3.318,4.0736,24
6633,0,9,2,24,9,18.0355,5.1577,16.82,30
6634,0,13,2,16,8,5.7162,0.8213,4.5664,25
6635,0,3,1,2,2,16.9842,9.2641,4.9934,10
6636,0,8,1,7,4,32.1616,3.7122,3.7451,22
6637,1,10,1,2,7,18.9882,0.7884,2.8252,15
6638,0,15,1,2,9,13.0749,9.5269,8.6399,22
6639,1,5,0,6,3,42,3.7779,3.7779,9
6640,1,5,1,3,2,8.41,8.41,12.0237,9
6641,1,1,0,1,0,42,0.2957,0.2957,2
6642,0,1,0,3,0,42,12.0237,21.5506,8
6643,1,3,0,6,2,42,2.8252,6.3075,13
6644,0,9,1,5,4,31.8331,6.1761,17.9698,15
6645,0,5,0,1,5,42,18.7582,16.9842,7
6646,0,3,1,8,2,3.9422,3.9422,21.7148,9
6647,0,0,0,1,0,42,5.7162,42,4
6648,1,21,8,25,9,10.7753,3.6137,3.1537,52
6649,0,6,3,3,5,5.4205,7.1616,1.2155,16
6650,0,9,2,18,6,12.4507,0.3614,5.3876,26
6651,0,10,0,6,5,42,9.067,9.067,17
6652,0,11,5,7,4,2.6938,3.3509,3.7122,22
6653,0,3,0,6,2,42,4.5335,24.5729,8
6654,0,1,0,0,0,42,42,11.8594,4
6655,1,21,0,23,6,42,0.5913,0.5913,34
6656,0,7,0,3,2,42,1.7411,1.544,20
6657,1,10,4,10,5,5.1905,2.2339,4.435,15
6658,0,4,0,0,2,42,42,0.3942,6
6659,0,9,0,14,3,42,0.3614,1.9711,17
6660,0,0,0,0,0,42,42,42,1
6661,0,12,1,2,9,23.1603,17.5099,4.6649,18
6662,0,1,1,0,0,0.3285,42,12.4836,5
6663,0,2,0,2,2,42,7.6216,7.6216,5
6664,0,0,0,6,0,42,0.0986,42,9
6665,0,2,0,12,0,42,0.5585,10.1511,12
6666,1,4,0,5,1,42,1.4126,1.4126,12
6667,0,5,1,4,2,7.8844,7.8844,0.7884,9
6668,0,8,0,4,5,42,4.9277,2.6281,10
6669,0,1,0,10,0,42,0.5913,12.9435,11
6670,1,9,4,9,6,3.0223,0.5913,1.774,17
6671,1,9,2,7,6,11.4652,5.8804,3.5808,17
6672,0,8,4,1,5,18.2654,3.8108,2.1682,12
6673,1,8,0,13,5,42,0.3942,3.9422,15
6674,0,0,0,0,0,42,42,42,1
6675,0,6,1,6,6,28.3837,5.3876,5.3876,12
6676,0,0,0,0,0,42,42,42,6
6677,0,14,2,7,7,30.1905,0.3614,0.3614,20
6678,0,8,2,5,4,27.5296,7.7201,9.067,12
6679,0,1,1,0,0,0.5256,42,0.5256,5
6680,0,0,2,5,0,5.3876,5.3876,42,12
6681,0,2,0,7,2,42,0.3942,5.4862,10
6682,0,7,1,6,2,6.866,1.0184,1.0184,12
6683,0,0,1,1,0,10.3154,6.8003,42,5
6684,1,0,0,20,0,42,2.6938,42,25
6685,0,1,0,5,1,42,1.4126,2.7924,6
6686,0,6,1,3,4,10.6767,6.1104,2.8909,8
6687,0,5,3,1,5,10.0854,10.0854,4.5007,22
6688,0,2,0,4,1,42,13.929,3.9422,8
6689,0,6,1,12,3,12.4507,2.4639,3.975,20
6690,0,4,3,5,1,1.7411,10.0197,0.0657,14
6691,0,0,0,2,0,42,6.866,42,5
6692,0,3,0,0,1,42,42,1.544,5
6693,0,10,1,6,4,10.5125,9.8226,4.435,19
6694,0,2,0,3,1,42,3.8108,2.6938,17
6695,1,14,2,3,10,8.7714,26.5769,1.3469,25
6696,0,6,1,2,3,9.4612,0.0986,1.4783,13
6697,0,3,4,2,2,7.9172,15.3088,24.2773,18
6698,0,0,1,0,0,26.8725,42,42,5
6699,0,9,8,8,2,6.0447,6.3403,2.6281,36
6700,0,1,5,3,1,1.5112,3.5151,20.4336,25
6701,1,22,7,11,12,1.7083,1.7083,1.7083,28
6702,1,14,1,10,8,11.1038,0.1314,7.2273,27
6703,0,7,0,5,3,42,16.6557,16.6557,24
6704,0,7,1,1,5,23.3246,28.5808,10.3154,20
6705,0,10,1,3,7,15.7687,19.5138,4.3035,13
6706,0,0,0,0,0,42,42,42,4
6707,0,2,0,4,0,42,0.6242,2.4639,5
6708,0,4,2,3,1,28.088,13.2392,4.5335,13
6709,0,3,2,0,2,9.297,42,1.3469,14
6710,0,1,0,1,0,42,5.6505,21.3535,5
6711,0,5,0,4,2,42,1.8725,1.8725,9
6712,1,22,5,20,14,6.5703,3.6137,1.4783,33
6713,0,0,0,2,0,42,4.9277,42,4
6714,0,8,0,4,6,42,13.4363,4.3035,23
6715,0,1,0,2,1,42,5.9461,5.9461,3
6716,1,14,2,12,9,21.452,0.1314,5.4205,20
6717,0,0,0,2,0,42,22.5033,42,8
6718,0,14,5,4,5,2.4639,14.7832,0.5913,26
6719,0,6,0,0,5,42,42,4.0079,13
6720,0,8,0,2,6,42,1.4455,0.5256,30
6721,0,0,0,0,0,42,42,42,5
6722,0,0,4,1,0,1.3469,32.1616,42,8
6723,0,5,1,3,3,5.6176,5.6176,5.6176,6
6724,0,3,0,1,0,42,7.1616,10.0854,9
6725,1,10,1,23,5,0.3285,0.3285,0.5585,43
6726,0,10,7,4,3,0.5585,11.8265,1.9054,23
6727,0,7,0,1,6,42,1.544,2.0039,8
6728,0,5,0,0,4,42,42,2.661,9
6729,0,14,0,23,9,42,2.431,1.3141,31
6730,0,9,1,4,6,22.5033,6.0118,7.5558,15
6731,0,5,0,1,2,42,31.7017,1.1827,5
6732,0,6,0,2,0,42,1.6754,2.6281,12
6733,1,6,1,6,3,24.9343,0.8541,0.8541,13
6734,0,4,0,2,4,42,17.9041,6.1104,6
6735,0,13,0,12,5,42,6.9974,3.6137,14
6736,0,2,1,0,2,10.2825,42,17.5427,15
6737,0,1,0,0,1,42,42,21.025,3
6738,0,3,1,4,0,25.1314,4.9934,23.5874,11
6739,1,5,6,11,3,5.5848,0.8213,0.1643,20
6740,0,5,0,4,1,42,3.5808,12.9435,20
6741,0,0,1,0,0,7.6873,42,42,3
6742,0,0,0,1,0,42,16.82,42,2
6743,0,3,1,8,1,10.2497,0.7227,8.8042,13
6744,0,0,0,2,0,42,4.2707,42,3
6745,0,3,2,0,0,1.2484,42,0.8213,12
6746,0,1,1,0,0,11.3995,42,11.3995,14
6747,0,1,0,0,1,42,42,5.1577,3
6748,0,0,0,1,0,42,5.6176,42,3
6749,0,1,0,1,1,42,8.2457,31.6689,13
6750,0,3,0,0,3,42,42,2.3325,11
6751,0,2,0,3,1,42,9.8555,5.8147,6
6752,0,7,0,0,5,42,42,3.318,8
6753,0,1,0,2,1,42,1.9711,4.6978,3
6754,1,7,1,6,3,4.4678,0.5256,0.5256,11
6755,0,1,0,10,1,42,0.7884,16.6886,19
6756,0,4,0,3,1,42,6.9974,10.6439,11
6757,0,3,1,0,1,9.297,42,3.8108,10
6758,1,12,7,8,9,6.5375,5.4205,5.4205,16
6759,0,4,1,5,3,6.0118,1.4455,1.4455,7
6760,0,0,0,7,0,42,0.5913,42,10
6761,0,1,0,4,0,42,0.1643,24.343,18
6762,0,4,2,7,4,24.2116,5.4205,5.4205,15
6763,0,1,1,1,1,1.1827,10.2497,6.4717,8
6764,0,4,2,3,4,1.4783,7.1945,7.1945,12
6765,0,3,1,5,1,9.5926,0.5913,9.5926,15
6766,0,0,0,1,0,42,3.0552,42,2
6767,0,2,2,3,2,3.318,3.318,3.318,6
6768,0,0,0,2,0,42,2.2011,42,6
6769,1,28,6,12,19,13.5348,6.1761,1.9382,70
6770,0,4,0,3,1,42,0.3614,10.9396,9
6771,1,9,3,12,1,22.8647,3.3509,9.9212,21
6772,1,7,1,7,4,1.0841,4.9606,5.9461,18
6773,0,8,1,12,6,28.4494,4.862,16.4258,13
6774,1,5,0,6,2,42,2.6281,2.6281,10
6775,0,6,0,6,4,42,0.0329,0.0329,9
6776,1,12,3,4,3,1.4783,11.4652,1.2812,18
6777,0,1,0,0,0,42,42,2.6281,2
6778,0,0,0,5,0,42,2.6281,42,5
6779,0,2,2,1,0,8.18,4.7635,11.071,7
6780,0,2,0,0,1,42,42,11.3666,4
6781,0,2,0,0,2,42,42,2.7924,4
6782,0,0,0,1,0,42,4.0407,42,2
6783,0,0,0,0,0,42,42,42,2
6784,0,4,0,11,3,42,2.3982,2.5624,12
6785,0,9,0,11,4,42,7.7201,2.8581,18
6786,0,7,0,2,6,42,30.7162,0.2628,11
6787,0,3,0,3,1,42,0.0986,0.0986,7
6788,0,4,0,1,1,42,12.1551,0.3614,5
6789,0,0,0,1,0,42,0.6242,42,1
6790,0,0,0,3,0,42,6.406,42,6
6791,0,9,1,7,6,3.5808,0.0986,0.0986,15
6792,0,3,4,1,0,1.9054,15.7359,2.2668,22
6793,0,2,1,0,2,0.1314,42,4.9606,7
6794,0,2,5,4,1,9.5598,7.4244,13.6334,9
6795,0,8,1,4,4,21.0907,2.3653,6.1104,13
6796,0,8,2,8,4,8.3443,10.7753,7.0302,25
6797,0,8,0,3,6,42,0.5913,0.5913,12
6798,0,3,0,0,1,42,42,2.1682,13
6799,1,6,0,8,3,42,6.1104,9.3955,11
6800,0,4,1,10,4,2.8581,2.8581,15.5059,16
6801,1,4,6,14,2,1.4783,1.4783,5.2562,21
6802,0,6,0,4,5,42,2.3653,4.6978,14
6803,0,0,1,0,0,8.1472,42,42,5
6804,0,2,0,4,1,42,2.6281,21.7477,9
6805,0,8,1,8,6,10.9396,2.8581,5.3219,13
6806,0,3,1,2,1,11.4652,0.5585,0.5585,11
6807,0,14,0,6,5,42,0.0986,0.4271,26
6808,0,5,0,1,1,42,2.6938,2.6938,9
6809,0,3,0,5,2,42,3.7451,3.7451,8
6810,0,2,1,8,1,1.2484,1.2484,3.0552,12
6811,1,7,7,6,2,1.2484,0.1314,1.6426,23
6812,0,4,0,6,0,42,10.4796,10.4796,15
6813,0,6,1,2,3,29.6321,16.9842,15.4731,12
6814,0,0,1,1,0,11.1695,11.1695,42,2
6815,0,0,0,2,0,42,4.9606,42,2
6816,0,0,1,1,0,12.9106,12.9106,42,4
6817,0,3,1,2,2,10.2497,6.0447,5.8804,7
6818,0,0,0,0,0,42,42,42,1
6819,0,1,2,0,0,3.5151,42,13.4691,20
6820,0,8,5,14,3,2.1682,2.1682,6.7346,33
6821,0,2,3,9,2,6.2746,0.2957,6.9317,25
6822,0,0,0,0,0,42,42,42,2
6823,0,6,1,0,3,18.0026,42,1.7411,11
6824,0,1,1,2,0,3.975,0.8213,3.975,2
6825,0,8,0,10,3,42,2.2011,3.8436,17
6826,1,4,0,24,4,42,2.8909,4.0079,28
6827,0,5,0,4,0,42,16.6229,0.0329,15
6828,0,5,0,4,4,42,15.9001,7.2602,7
6829,0,6,0,2,2,42,0.5256,0.5256,13
6830,0,0,0,3,0,42,11.4323,42,13
6831,0,6,4,8,5,3.9422,1.9382,22.4704,19
6832,1,10,6,23,8,2.2011,2.2011,3.9422,30
6833,0,5,0,2,2,42,11.6951,5.2562,10
6834,0,11,4,8,6,13.4034,6.1761,6.1761,11
6835,1,8,0,10,3,42,0.4928,0.1314,19
6836,0,1,0,0,1,42,42,3.975,3
6837,1,2,4,12,1,4.7306,4.7306,20.4008,22
6838,0,8,3,5,3,2.5624,2.5624,9.5926,18
6839,0,1,0,1,1,42,18.134,18.134,4
6840,0,0,0,3,0,42,14.3233,42,12
6841,0,8,2,5,3,21.912,2.8252,3.0552,13
6842,0,7,6,2,2,2.431,6.1761,2.431,23
6843,0,1,0,2,1,42,5.3876,5.3876,7
6844,0,5,0,1,1,42,17.0499,2.7924,7
6845,0,2,0,0,0,42,42,3.5808,10
6846,0,0,2,0,0,11.3995,42,42,5
6847,0,5,0,0,2,42,42,3.8436,6
6848,0,5,0,0,4,42,42,4.5007,14
6849,0,2,0,5,2,42,8.6399,15.3745,5
6850,0,8,0,14,6,42,3.548,3.548,15
6851,0,0,0,0,0,42,42,42,1
6852,0,2,0,2,2,42,5.1905,9.067,5
6853,0,3,5,4,0,1.4783,1.5112,1.4783,16
6854,0,2,0,0,1,42,42,6.2746,6
6855,0,1,1,1,1,5.7819,9.724,9.724,2
6856,1,13,4,4,9,0.5256,0.657,0.657,19
6857,0,0,0,2,0,42,4.9277,42,2
6858,0,2,1,10,1,22.9632,5.4205,19.0539,22
6859,0,0,0,2,0,42,11.4652,42,5
6860,1,11,3,9,8,4.5007,3.0552,3.0552,16
6861,0,3,2,7,3,4.9277,4.5007,4.5007,12
6862,0,4,0,0,1,42,42,0.0329,14
6863,0,4,1,5,1,24.0802,5.8147,0.0329,15
6864,1,9,0,8,5,42,1.0512,1.0512,10
6865,0,3,1,1,3,16.2286,16.2286,4.9606,7
6866,1,1,0,2,1,42,12.8121,4.4678,3
6867,0,0,2,2,0,13.6662,11.8265,42,9
6868,1,7,4,7,3,0.5585,0.5256,0.5256,13
6869,0,7,2,10,4,2.8581,0.5256,0.5256,10
6870,0,0,0,1,0,42,5.8804,42,3
6871,0,14,1,2,8,26.2812,2.3653,0.3614,29
6872,0,0,0,0,0,42,42,42,1
6873,0,1,12,21,0,2.8581,1.0841,25.3942,53
6874,1,21,3,15,13,17.9041,0.0657,0.0657,34
6875,1,4,4,8,2,0.5585,3.7122,6.5046,12
6876,0,1,0,0,0,42,42,21.7148,2
6877,1,6,0,5,1,42,0.7227,0.1314,9
6878,1,7,4,8,3,5.092,2.6281,2.6281,18
6879,0,10,1,10,7,18.0683,6.0775,6.0775,21
6880,0,9,0,0,6,42,42,2.1025,10
6881,0,4,3,4,2,8.3443,1.8725,5.5848,17
6882,0,4,0,1,4,42,6.406,6.406,14
6883,1,8,0,7,5,42,6.0447,6.0447,9
6884,0,1,0,2,0,42,2.431,3.975,3
6885,1,4,5,2,1,1.4783,6.7674,1.4783,7
6886,0,2,0,3,2,42,1.5769,4.862,4
6887,0,5,4,3,3,14.0933,19.0539,5.4862,13
6888,0,5,0,4,4,42,6.7017,18.2654,11
6889,0,3,0,5,2,42,1.774,11.8594,12
6890,0,12,5,5,4,0.9855,1.8725,0.9855,18
6891,0,1,0,3,1,42,5.8804,5.8804,6
6892,0,2,0,0,1,42,42,9.067,2
6893,0,3,0,1,2,42,4.6321,3.5808,7
6894,1,7,1,16,3,30.6833,7.0959,10.6767,30
6895,0,5,1,3,5,1.5112,1.5112,4.5335,13
6896,0,10,0,9,6,42,16.2943,7.0302,23
6897,0,0,0,3,0,42,5.9461,42,4
6898,0,0,0,1,0,42,4.435,42,7
6899,1,7,1,5,3,26.6426,4.6978,4.6978,21
6900,0,13,4,7,6,11.3009,0.6242,5.4862,19
6901,0,1,0,4,1,42,1.7411,6.5046,4
6902,0,9,0,8,2,42,0.3614,0.3614,25
6903,0,0,0,0,0,42,42,42,1
6904,1,8,1,3,7,30.7819,27.2011,4.6321,16
6905,0,27,2,19,11,13.4034,0.5256,0.0986,41
6906,0,1,0,1,1,42,9.3627,4.0407,5
6907,0,29,15,11,14,0.1314,10.1511,0.6242,56
6908,1,4,2,4,1,13.4691,26.3469,4.5335,10
6909,0,2,2,1,0,16.2943,22.5033,21.0578,5
6910,0,10,1,1,0,1.2812,1.2812,1.2812,12
6911,1,41,1,35,27,18.0026,0.5585,2.1682,65
6912,0,5,1,2,1,4.6978,4.6978,20.6307,11
6913,0,3,0,1,3,42,16.1958,6.0775,10
6914,1,2,2,3,3,3.088,1.9711,1.9711,5
6915,1,3,2,7,1,12.9435,1.774,6.3732,19
6916,0,0,0,1,0,42,14.6189,42,2
6917,0,1,0,3,0,42,4.7635,12.2208,3
6918,0,1,0,1,1,42,6.1761,6.1761,3
6919,0,2,0,0,1,42,42,7.9501,6
6920,0,10,0,20,2,42,3.975,9.5598,29
6921,1,15,1,13,10,14.816,0.9855,4.0407,27
6922,0,0,0,2,0,42,4.7306,42,6
6923,0,4,0,2,1,42,7.9172,1.9382,8
6924,0,9,1,2,9,6.0775,5.0263,4.0079,22
6925,0,0,1,1,0,13.929,21.1235,42,5
6926,0,0,1,2,0,10.7753,4.2707,42,8
6927,0,1,3,0,1,3.548,42,27.7924,6
